x_m,y_m,value
0.0000,0.0000,-19.912435
0.1667,0.0000,-20.626381
0.3333,0.0000,-21.386390
0.5000,0.0000,-22.193904
0.6667,0.0000,-23.050115
0.8333,0.0000,-23.955692
1.0000,0.0000,-24.910345
1.1667,0.0000,-25.912237
1.3333,0.0000,-26.957387
1.5000,0.0000,-28.039211
1.6667,0.0000,-29.148445
1.8333,0.0000,-30.273543
2.0000,0.0000,-31.401487
2.1667,0.0000,-32.518781
2.3333,0.0000,-33.612351
2.5000,0.0000,-34.670266
2.6667,0.0000,-35.682484
2.8333,0.0000,-36.642022
3.0000,0.0000,-37.546738
3.1667,0.0000,-38.401387
3.3333,0.0000,-39.218986
3.5000,0.0000,-40.020252
3.6667,0.0000,-40.830287
3.8333,0.0000,-41.672770
4.0000,0.0000,-42.563211
4.1667,0.0000,-43.503741
4.3333,0.0000,-44.481804
4.5000,0.0000,-45.473884
4.6667,0.0000,-46.453525
4.8333,0.0000,-47.401141
5.0000,0.0000,-48.312182
5.1667,0.0000,-49.200456
5.3333,0.0000,-50.094888
5.5000,0.0000,-51.030145
5.6667,0.0000,-52.033851
5.8333,0.0000,-53.114555
6.0000,0.0000,-54.254717
6.1667,0.0000,-55.411409
6.3333,0.0000,-56.524761
6.5000,0.0000,-57.531367
6.6667,0.0000,-58.378159
6.8333,0.0000,-59.032563
7.0000,0.0000,-59.486834
7.1667,0.0000,-59.757090
7.3333,0.0000,-59.879211
7.5000,0.0000,-59.903681
7.6667,0.0000,-59.890166
7.8333,0.0000,-59.901553
8.0000,0.0000,-59.997090
8.1667,0.0000,-60.225170
8.3333,0.0000,-60.617252
8.5000,0.0000,-61.184655
8.6667,0.0000,-61.919367
8.8333,0.0000,-62.798761
9.0000,0.0000,-63.792834
9.1667,0.0000,-64.871655
9.3333,0.0000,-66.010511
9.5000,0.0000,-67.191034
9.6667,0.0000,-68.398201
9.8333,0.0000,-69.614925
10.0000,0.0000,-70.817188
10.1667,0.0000,-71.972472
10.3333,0.0000,-73.042759
10.5000,0.0000,-73.991195
10.6667,0.0000,-74.790001
10.8333,0.0000,-75.427000
11.0000,0.0000,-75.909144
11.1667,0.0000,-76.262778
11.3333,0.0000,-76.531288
11.5000,0.0000,-76.771048
11.6667,0.0000,-77.046430
11.8333,0.0000,-77.424508
12.0000,0.0000,-77.969969
12.1667,0.0000,-78.740585
12.3333,0.0000,-79.783320
12.5000,0.0000,-81.130994
12.6667,0.0000,-82.799664
12.8333,0.0000,-84.787371
13.0000,0.0000,-87.075246
13.1667,0.0000,-89.631765
13.3333,0.0000,-92.419961
13.5000,0.0000,-95.406181
13.6667,0.0000,-98.568097
13.8333,0.0000,-101.899771
14.0000,0.0000,-105.412645
14.1667,0.0000,-109.132918
14.3333,0.0000,-113.097147
14.5000,0.0000,-117.348364
14.6667,0.0000,-121.934551
14.8333,0.0000,-126.910096
15.0000,0.0000,-132.339556
15.1667,0.0000,-138.302147
15.3333,0.0000,-144.895385
15.5000,0.0000,-152.236989
15.6667,0.0000,-160.465296
15.8333,0.0000,-169.739233
16.0000,0.0000,-180.239174
16.1667,0.0000,-192.169479
16.3333,0.0000,-205.762661
16.5000,0.0000,-221.284276
16.6667,0.0000,-239.037208
