# x_m,y_m,total_field_nT  (synthetic magnetometer survey - 2 known buried targets)
0.000,0.000,49995.739
0.000,0.500,49995.641
0.000,1.000,49995.675
0.000,1.500,49996.830
0.000,2.000,49995.516
0.000,2.500,49993.387
0.000,3.000,49996.050
0.000,3.500,49995.063
0.000,4.000,49995.045
0.000,4.500,49995.443
0.000,5.000,49995.510
0.000,5.500,49996.792
0.000,6.000,49995.909
0.000,6.500,49994.961
0.000,7.000,49993.553
0.000,7.500,49992.997
0.000,8.000,49994.744
0.000,8.500,49996.192
0.000,9.000,49994.138
0.000,9.500,49993.767
0.000,10.000,49994.579
0.000,10.500,49991.462
0.000,11.000,49993.044
0.000,11.500,49994.131
0.000,12.000,49994.604
0.000,12.500,49992.851
0.000,13.000,49993.716
0.000,13.500,49993.486
0.000,14.000,49994.275
0.000,14.500,49991.444
0.000,15.000,49994.004
0.000,15.500,49990.940
0.000,16.000,49989.364
0.000,16.500,49992.485
0.000,17.000,49992.139
0.000,17.500,49994.956
0.000,18.000,49994.778
0.000,18.500,49992.098
0.000,19.000,49995.347
0.000,19.500,49992.722
0.000,20.000,49994.245
0.250,0.000,49995.520
0.250,0.500,49996.076
0.250,1.000,49997.070
0.250,1.500,49996.732
0.250,2.000,49996.227
0.250,2.500,49996.598
0.250,3.000,49996.255
0.250,3.500,49994.505
0.250,4.000,49994.269
0.250,4.500,49994.533
0.250,5.000,49995.872
0.250,5.500,49994.624
0.250,6.000,49998.372
0.250,6.500,49993.501
0.250,7.000,49992.935
0.250,7.500,49995.583
0.250,8.000,49996.405
0.250,8.500,49994.868
0.250,9.000,49995.199
0.250,9.500,49995.921
0.250,10.000,49993.479
0.250,10.500,49991.332
0.250,11.000,49992.524
0.250,11.500,49994.620
0.250,12.000,49990.912
0.250,12.500,49993.036
0.250,13.000,49993.297
0.250,13.500,49992.402
0.250,14.000,49993.947
0.250,14.500,49993.747
0.250,15.000,49996.400
0.250,15.500,49993.916
0.250,16.000,49992.164
0.250,16.500,49992.348
0.250,17.000,49992.074
0.250,17.500,49994.895
0.250,18.000,49992.770
0.250,18.500,49993.676
0.250,19.000,49995.069
0.250,19.500,49993.025
0.250,20.000,49993.832
0.500,0.000,49993.202
0.500,0.500,49994.281
0.500,1.000,49994.988
0.500,1.500,49996.393
0.500,2.000,49997.483
0.500,2.500,49995.582
0.500,3.000,49995.911
0.500,3.500,49995.674
0.500,4.000,49996.943
0.500,4.500,49996.542
0.500,5.000,49995.489
0.500,5.500,49993.431
0.500,6.000,49996.161
0.500,6.500,49995.228
0.500,7.000,49996.338
0.500,7.500,49994.287
0.500,8.000,49997.089
0.500,8.500,49993.443
0.500,9.000,49996.191
0.500,9.500,49993.793
0.500,10.000,49992.668
0.500,10.500,49991.578
0.500,11.000,49992.883
0.500,11.500,49995.098
0.500,12.000,49994.061
0.500,12.500,49993.766
0.500,13.000,49989.092
0.500,13.500,49993.675
0.500,14.000,49993.427
0.500,14.500,49991.784
0.500,15.000,49991.715
0.500,15.500,49992.730
0.500,16.000,49995.424
0.500,16.500,49991.381
0.500,17.000,49992.468
0.500,17.500,49995.313
0.500,18.000,49992.773
0.500,18.500,49993.074
0.500,19.000,49993.948
0.500,19.500,49992.120
0.500,20.000,49994.489
0.750,0.000,49994.149
0.750,0.500,49997.229
0.750,1.000,49995.839
0.750,1.500,49999.185
0.750,2.000,49996.101
0.750,2.500,49997.641
0.750,3.000,49993.543
0.750,3.500,49995.211
0.750,4.000,49995.767
0.750,4.500,49997.779
0.750,5.000,49992.508
0.750,5.500,49996.374
0.750,6.000,49995.624
0.750,6.500,49996.876
0.750,7.000,49995.472
0.750,7.500,49994.302
0.750,8.000,49993.253
0.750,8.500,49991.968
0.750,9.000,49993.935
0.750,9.500,49993.154
0.750,10.000,49996.275
0.750,10.500,49992.137
0.750,11.000,49993.354
0.750,11.500,49990.357
0.750,12.000,49991.974
0.750,12.500,49992.843
0.750,13.000,49993.600
0.750,13.500,49994.483
0.750,14.000,49992.227
0.750,14.500,49990.635
0.750,15.000,49993.051
0.750,15.500,49993.226
0.750,16.000,49993.305
0.750,16.500,49991.660
0.750,17.000,49994.574
0.750,17.500,49993.185
0.750,18.000,49994.294
0.750,18.500,49995.353
0.750,19.000,49994.556
0.750,19.500,49994.270
0.750,20.000,49997.264
1.000,0.000,49996.326
1.000,0.500,49995.451
1.000,1.000,49995.993
1.000,1.500,49997.972
1.000,2.000,49995.842
1.000,2.500,49996.351
1.000,3.000,49997.265
1.000,3.500,49994.593
1.000,4.000,49992.654
1.000,4.500,49995.563
1.000,5.000,49995.319
1.000,5.500,49993.911
1.000,6.000,49995.967
1.000,6.500,49995.398
1.000,7.000,49992.808
1.000,7.500,49994.882
1.000,8.000,49993.605
1.000,8.500,49991.461
1.000,9.000,49994.146
1.000,9.500,49993.178
1.000,10.000,49991.908
1.000,10.500,49993.598
1.000,11.000,49993.344
1.000,11.500,49991.562
1.000,12.000,49992.869
1.000,12.500,49993.659
1.000,13.000,49990.969
1.000,13.500,49992.549
1.000,14.000,49991.962
1.000,14.500,49995.377
1.000,15.000,49989.245
1.000,15.500,49993.179
1.000,16.000,49991.809
1.000,16.500,49992.278
1.000,17.000,49995.465
1.000,17.500,49992.801
1.000,18.000,49996.388
1.000,18.500,49992.582
1.000,19.000,49993.992
1.000,19.500,49992.949
1.000,20.000,49992.863
1.250,0.000,49996.047
1.250,0.500,49995.462
1.250,1.000,49996.116
1.250,1.500,49992.574
1.250,2.000,49998.647
1.250,2.500,49995.296
1.250,3.000,49998.056
1.250,3.500,49993.815
1.250,4.000,49995.639
1.250,4.500,49999.810
1.250,5.000,49993.609
1.250,5.500,49992.509
1.250,6.000,49993.757
1.250,6.500,49995.097
1.250,7.000,49995.228
1.250,7.500,49995.910
1.250,8.000,49993.364
1.250,8.500,49991.112
1.250,9.000,49992.621
1.250,9.500,49994.890
1.250,10.000,49993.484
1.250,10.500,49989.612
1.250,11.000,49992.270
1.250,11.500,49994.213
1.250,12.000,49995.124
1.250,12.500,49992.628
1.250,13.000,49992.138
1.250,13.500,49989.745
1.250,14.000,49990.318
1.250,14.500,49991.676
1.250,15.000,49992.429
1.250,15.500,49992.656
1.250,16.000,49991.217
1.250,16.500,49990.388
1.250,17.000,49991.156
1.250,17.500,49990.812
1.250,18.000,49993.751
1.250,18.500,49989.561
1.250,19.000,49992.774
1.250,19.500,49994.190
1.250,20.000,49996.032
1.500,0.000,49996.050
1.500,0.500,49997.375
1.500,1.000,49995.198
1.500,1.500,49994.595
1.500,2.000,49994.608
1.500,2.500,49997.809
1.500,3.000,49996.898
1.500,3.500,49996.016
1.500,4.000,50000.147
1.500,4.500,49994.957
1.500,5.000,49995.777
1.500,5.500,49995.135
1.500,6.000,49994.153
1.500,6.500,49997.757
1.500,7.000,49996.325
1.500,7.500,49991.733
1.500,8.000,49992.987
1.500,8.500,49993.972
1.500,9.000,49994.238
1.500,9.500,49990.769
1.500,10.000,49989.137
1.500,10.500,49989.395
1.500,11.000,49991.895
1.500,11.500,49991.613
1.500,12.000,49992.081
1.500,12.500,49990.240
1.500,13.000,49989.431
1.500,13.500,49988.155
1.500,14.000,49991.657
1.500,14.500,49991.744
1.500,15.000,49992.757
1.500,15.500,49992.580
1.500,16.000,49991.277
1.500,16.500,49993.792
1.500,17.000,49991.797
1.500,17.500,49991.263
1.500,18.000,49991.739
1.500,18.500,49991.915
1.500,19.000,49989.814
1.500,19.500,49993.564
1.500,20.000,49993.961
1.750,0.000,49995.386
1.750,0.500,49994.786
1.750,1.000,49996.334
1.750,1.500,49998.264
1.750,2.000,49995.649
1.750,2.500,49994.724
1.750,3.000,49994.481
1.750,3.500,49995.135
1.750,4.000,49993.201
1.750,4.500,49994.755
1.750,5.000,49994.865
1.750,5.500,49997.355
1.750,6.000,49995.801
1.750,6.500,49995.718
1.750,7.000,49992.862
1.750,7.500,49994.683
1.750,8.000,49991.700
1.750,8.500,49993.594
1.750,9.000,49993.460
1.750,9.500,49991.382
1.750,10.000,49995.227
1.750,10.500,49992.782
1.750,11.000,49988.791
1.750,11.500,49992.211
1.750,12.000,49990.539
1.750,12.500,49990.959
1.750,13.000,49991.512
1.750,13.500,49991.310
1.750,14.000,49987.635
1.750,14.500,49988.986
1.750,15.000,49991.972
1.750,15.500,49992.909
1.750,16.000,49994.004
1.750,16.500,49994.087
1.750,17.000,49988.562
1.750,17.500,49993.085
1.750,18.000,49989.354
1.750,18.500,49994.952
1.750,19.000,49993.212
1.750,19.500,49991.415
1.750,20.000,49996.424
2.000,0.000,49996.878
2.000,0.500,49993.000
2.000,1.000,49996.193
2.000,1.500,49994.565
2.000,2.000,49995.727
2.000,2.500,49994.750
2.000,3.000,49997.385
2.000,3.500,49993.054
2.000,4.000,49995.516
2.000,4.500,49997.596
2.000,5.000,49993.453
2.000,5.500,49994.811
2.000,6.000,49994.581
2.000,6.500,49993.008
2.000,7.000,49994.758
2.000,7.500,49993.656
2.000,8.000,49991.801
2.000,8.500,49995.548
2.000,9.000,49993.768
2.000,9.500,49991.995
2.000,10.000,49990.953
2.000,10.500,49990.397
2.000,11.000,49993.098
2.000,11.500,49990.734
2.000,12.000,49991.378
2.000,12.500,49990.193
2.000,13.000,49991.229
2.000,13.500,49990.028
2.000,14.000,49991.314
2.000,14.500,49989.928
2.000,15.000,49991.549
2.000,15.500,49991.478
2.000,16.000,49990.514
2.000,16.500,49989.664
2.000,17.000,49989.842
2.000,17.500,49990.462
2.000,18.000,49990.431
2.000,18.500,49993.545
2.000,19.000,49992.511
2.000,19.500,49995.261
2.000,20.000,49996.636
2.250,0.000,49995.928
2.250,0.500,49993.490
2.250,1.000,49995.154
2.250,1.500,49995.517
2.250,2.000,49993.291
2.250,2.500,49995.031
2.250,3.000,49995.708
2.250,3.500,49994.445
2.250,4.000,49993.823
2.250,4.500,49993.663
2.250,5.000,49997.288
2.250,5.500,49994.156
2.250,6.000,49992.918
2.250,6.500,49993.348
2.250,7.000,49995.062
2.250,7.500,49992.303
2.250,8.000,49993.731
2.250,8.500,49993.757
2.250,9.000,49993.429
2.250,9.500,49994.033
2.250,10.000,49990.729
2.250,10.500,49992.878
2.250,11.000,49989.627
2.250,11.500,49989.883
2.250,12.000,49991.970
2.250,12.500,49991.159
2.250,13.000,49989.739
2.250,13.500,49987.831
2.250,14.000,49990.421
2.250,14.500,49988.673
2.250,15.000,49988.350
2.250,15.500,49988.953
2.250,16.000,49990.546
2.250,16.500,49987.296
2.250,17.000,49991.357
2.250,17.500,49991.440
2.250,18.000,49990.678
2.250,18.500,49993.489
2.250,19.000,49993.223
2.250,19.500,49991.756
2.250,20.000,49992.003
2.500,0.000,49996.909
2.500,0.500,49993.510
2.500,1.000,49995.195
2.500,1.500,49994.648
2.500,2.000,49995.588
2.500,2.500,49995.677
2.500,3.000,49995.280
2.500,3.500,49996.776
2.500,4.000,49995.248
2.500,4.500,49994.248
2.500,5.000,49992.699
2.500,5.500,49995.371
2.500,6.000,49994.830
2.500,6.500,49995.939
2.500,7.000,49992.341
2.500,7.500,49993.175
2.500,8.000,49992.694
2.500,8.500,49992.274
2.500,9.000,49992.022
2.500,9.500,49989.020
2.500,10.000,49992.406
2.500,10.500,49991.725
2.500,11.000,49992.029
2.500,11.500,49993.323
2.500,12.000,49989.126
2.500,12.500,49989.262
2.500,13.000,49989.113
2.500,13.500,49991.876
2.500,14.000,49986.320
2.500,14.500,49989.692
2.500,15.000,49986.892
2.500,15.500,49985.444
2.500,16.000,49986.573
2.500,16.500,49987.876
2.500,17.000,49991.937
2.500,17.500,49989.442
2.500,18.000,49990.827
2.500,18.500,49989.847
2.500,19.000,49992.923
2.500,19.500,49990.752
2.500,20.000,49994.759
2.750,0.000,49994.347
2.750,0.500,49994.605
2.750,1.000,49995.843
2.750,1.500,49995.591
2.750,2.000,49997.576
2.750,2.500,49995.491
2.750,3.000,49993.355
2.750,3.500,49994.167
2.750,4.000,49993.972
2.750,4.500,49995.722
2.750,5.000,49994.991
2.750,5.500,49993.994
2.750,6.000,49995.208
2.750,6.500,49992.814
2.750,7.000,49993.077
2.750,7.500,49993.196
2.750,8.000,49994.831
2.750,8.500,49991.975
2.750,9.000,49991.155
2.750,9.500,49989.651
2.750,10.000,49991.773
2.750,10.500,49989.385
2.750,11.000,49990.316
2.750,11.500,49986.508
2.750,12.000,49990.531
2.750,12.500,49986.637
2.750,13.000,49987.218
2.750,13.500,49989.815
2.750,14.000,49986.172
2.750,14.500,49988.108
2.750,15.000,49988.495
2.750,15.500,49987.137
2.750,16.000,49990.981
2.750,16.500,49991.609
2.750,17.000,49986.843
2.750,17.500,49988.093
2.750,18.000,49991.957
2.750,18.500,49989.265
2.750,19.000,49991.099
2.750,19.500,49992.317
2.750,20.000,49993.576
3.000,0.000,49995.469
3.000,0.500,49995.859
3.000,1.000,49994.453
